Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
2083 ,Ang,Sapindaceae,Acer negundo,-2.16 ,,,,,,3.466666679,9.22 ,558.00 ,1.047863447,0.6533,899.1572254,27.39784947,-9.944000244,25,40°46'N,111°48'W,"Sperry, 2012, Plant, Cell and Environment",Salt Lake City,USA
2426 ,Ang,Sapindaceae,Acer negundo,-2.42 ,,,33.50 ,,,3.12499998,7.42 ,494.00 ,1.007528871,0.5303,842.2885333,18.36524204,-9.472000122,27,40°47' N,111°48' W,"Wheeler, 2005, Plant, Cell and Environment","East of Salt Lake City, Utah (UT)",USA
2445 ,Ang,Sapindaceae,Acer negundo,,8.56 ,0.81 ,,,,3.474999984,8.58 ,793.00 ,0.511422015,0.8262,1001.529457,26.31120843,-12.13199997,35,42°40' N,84°28' W,"Woodrum, 2003, American Journal of Botany","Ingham County, Michigan",USA
2446 ,Ang,Sapindaceae,Acer nigrum,,4.53 ,0.88 ,,,,3.474999984,8.58 ,793.00 ,0.511422015,0.8262,1001.529457,26.31120843,-12.13199997,35,42°40' N,84°28' W,"Woodrum, 2003, American Journal of Botany","Ingham County, Michigan",USA
2642 ,Ang,Sapindaceae,Acer oliverianum,,0.83 ,0.97 ,,0.41 ,,2.074999998,3.00 ,858.00 ,6.066549556,0.9714,635.2643433,90.25313014,-10.72399998,8,29°35'N,102°02'E,"Xu, 2020, New Phytologist",Sichuan province,China
2282 ,Ang,Sapindaceae,Acer opalus,-2.45 ,0.18 ,,,,5.00 ,2.608333309,12.29 ,949.00 ,0.560671453,0.9346,683.0007856,18.15370238,-2.072000027,60,45°12' N,5°44' E,"Tissier, 2004, Annals of Forest Science",La Bastille,France
399 ,Ang,Sapindaceae,Acer pictum subsp. mono,-3.02 ,1.27 ,0.65 ,26.80 ,0.61 ,,2.791666687,12.90 ,750.00 ,0.833278615,0.7018,1029.416139,109.3542796,-7.93599987,8,35°46'N,117°47'E,"Chen, 2019, 2020, 2021, Tree Physiology","Xintai, Shandong province",China
2469 ,Ang,Sapindaceae,Acer pictum subsp. mono,,,0.93 ,,,,2.391666641,2.43 ,759.00 ,0.389803522,0.8267,661.8772376,97.80626751,-11.29199982,2,29°33'N,101°23'E,"Xu, 2020, New Phytologist",Sichuan province,China
1998 ,Ang,Sapindaceae,Acer platanoides,-4.23 ,1.00 ,0.85 ,26.45 ,0.49 ,23.76 ,3.649999996,9.01 ,680.00 ,0.445207985,0.9862,626.9841101,13.37793013,-4.268000126,44,51°34' N,9°57' E,"Schumann, 2019, Trees-Structure and Function",Göttingen,Germany
1999 ,Ang,Sapindaceae,Acer pseudoplatanus,-3.15 ,1.42 ,0.69 ,28.13 ,0.47 ,21.70 ,3.649999996,9.01 ,680.00 ,0.445207985,0.9862,626.9841101,13.37793013,-4.268000126,44,51°34' N,9°57' E,"Schumann, 2019, Trees-Structure and Function",Göttingen,Germany
2755 ,Ang,Sapindaceae,Acer pseudo-sieboldianum,-2.54 ,1.86 ,,31.30 ,0.55 ,,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24' N,128°28' E,"Yin, 2018, New Phytologist",Jilin province,China
1405 ,Ang,Sapindaceae,Acer rubrum,-1.97 ,0.55 ,0.49 ,24.49 ,0.51 ,,2.424999982,14.90 ,1150.00 ,0.80813385,0.9145,796.7224354,11.37109856,-2.828000069,79,36°01' N,78°59' W,"Maherali, 2006, Plant, Cell and Environment",North Carolina,USA
2447 ,Ang,Sapindaceae,Acer rubrum,,5.85 ,0.83 ,,,,3.474999984,8.58 ,793.00 ,0.511422015,0.8262,1001.529457,26.31120843,-12.13199997,35,42°40' N,84°28' W,"Woodrum, 2003, American Journal of Botany","Ingham County, Michigan",USA
1128 ,Ang,Sapindaceae,Acer rubrum ,-3.11 ,0.67 ,,,,9.80 ,2.408333331,14.83 ,1165.00 ,0.832321853,0.9181,793.5546533,10.60838144,-2.815999985,80,35°59' N,79°05' W,"Johnson, 2016, Tree physiology",North Carolina,USA
2448 ,Ang,Sapindaceae,Acer saccharinum,,4.69 ,0.59 ,,,,3.474999984,8.58 ,793.00 ,0.511422015,0.8262,1001.529457,26.31120843,-12.13199997,35,42°40' N,84°28' W,"Woodrum, 2003, American Journal of Botany","Ingham County, Michigan",USA
194 ,Ang,Sapindaceae,Acer saccharum,-6.04 ,0.56 ,,,,,3.416666647,9.91 ,1306.00 ,0.53273008,1.3623,729.7813014,11.61978521,-6.15199995,87,36°06'N,81°58'W,"Berry, 2015, Tree Physiology",North Carolina,USA
1625 ,Ang,Sapindaceae,Acer saccharum,-3.83 ,,,,,,4.266666691,9.72 ,1158.00 ,0.570794672,1.2041,905.124108,7.950597567,-8.904000282,86,42°17' N,71°08' W,"Melcher, 2003, Plant Physiology","Arnold Arboretum, Boston",USA
2315 ,Ang,Sapindaceae,Acer saccharum,-4.11 ,,,,,,3.908333321,5.81 ,1053.00 ,0.353096022,1.1155,1068.679117,16.85097041,-15.02799988,66,44°49' N,79°24' W,"Tyree & Dixon, 1986, Physiologia Plantarum","Snake Island, Ontario",Canada
