Timestamp	StudentAge	Gender	Nationality	Major	FirstPhoneAge	Provider	Devices	WeeklyPhone	SocialMedia	Sleep	MobileMoney	Food	Study	Gym	StudySpace	Health	Writing	Math
8/26/2019 20:41:35	19	Female	Ghana	MIS	18	MTN	2	20	3	8	No	30	15	No	Any of the classrooms	1	Yes	Yes
8/26/2019 20:44:28	19	Male	Ghana	MIS	14	MTN	2	10	3.5	4.5	Yes	10	4	No	Any of the classrooms	1	Yes	Yes
8/26/2019 20:45:16	19	Female	Ghana	CS	12	MTN	3	30	4	6	Yes	14	14	No	Any of the classrooms	1	Yes	Yes
8/26/2019 20:48:24	17	Male	Ghana	BA	10	Vodafone	3	20	4.5	7.5	Yes	10	6	No	Any of the classrooms	2	Yes	Yes
8/26/2019 20:48:24	20	Female	Ghana	BA	12	MTN	2	50	4	10	Yes	20	3	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 20:53:57	19	Female	Ghana	BA	18	Vodafone	2	20	3.5	8	No	20	16	No	Any of the classrooms	2	Yes	Yes
8/26/2019 20:55:48	19	Female	Ghana	BA	11	Vodafone	2	15	4	5	Yes	0	10	Yes	Any of the classrooms	3	Yes	Yes
8/26/2019 20:57:04	19	Female	Ghana	BA	11	Vodafone	2	30	1.5	6	Yes	32	7	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 20:58:53	18	Male	Ghana	BA	9	MTN	2	40	5	10	Yes	12	4	No	Library Seminar Room	2	Yes	No
8/26/2019 21:00:57	19	Male	Ghana	CS	15	Vodafone	2	5	4	6	No	0	3	Yes	Any of the classrooms	0	Yes	Yes
8/26/2019 21:03:58	19	Male	Ghana	MIS	11	AirtelTigo	3	5	1.5	5.5	Yes	0	16	No	Any of the classrooms	1	Yes	Yes
8/26/2019 21:10:15	18	Male	Ghana	MIS	8	MTN	2	55	1.5	8	Yes	0	6	Yes	Hive	2	Yes	Yes
8/26/2019 21:16:34	20	Female	Zimbabwe	Engineering	13	MTN	2	5	3	7	No	30	10	Yes	Any of the classrooms	7	Yes	Yes
8/26/2019 21:30:15	18	Female	Ghana	BA	12	MTN	3	5	0	4.5	Yes	14.5	2	No	Any of the classrooms	5	Yes	No
8/26/2019 21:33:21	19	Male	Ghana	MIS	14	Vodafone	2	10	6	6.5	Yes	0	3	No	Hakuna Matata	2	Yes	Yes
8/26/2019 21:33:27	18	Male	Ghana	CS	13	Vodafone	2	10	1	5	No	17	5	No	Hakuna Matata	4	Yes	No
8/26/2019 21:36:20	19	Male	Ghana	BA	17	AirtelTigo	2	10	9.5	7.5	No	20	5	No	Library Study Area	1	Yes	No
8/26/2019 21:39:57	20	Male	Ghana	CS	12	Vodafone	3	10	6	6	No	14	6	No	Green Lounge	5	Yes	Yes
8/26/2019 22:02:00	20	Female	Ghana	CS	18	MTN	2	6	3.5	7	Yes	35	7	No	Students hangout	5	Yes	No
8/26/2019 22:44:17	22	Female	Ghana	BA	18	MTN	2	5	4	6	Yes	35	6	No	Lab 221	4	Yes	Yes
8/26/2019 22:52:30	19	Male	Ghana	BA	12	AirtelTigo	2	40	3	7	No	0	6	No	Any of the classrooms	3	Yes	No
8/26/2019 22:55:52	18	Male	Nigeria	MIS	10	MTN	2	20	5.5	6	No	0	5	Yes	Hakuna Matata	3	Yes	No
8/26/2019 22:56:27	21	Male	Ghana	BA	12	MTN	2	5	3	6	Yes	30	7	No	Green Lounge	2	Yes	Yes
8/26/2019 23:08:33	18	Male	Nigeria	Engineering	10	AirtelTigo	3	0	4.1	7	No	8	21	No	Lobby	4	Yes	Yes
8/26/2019 23:21:42	19	Female	Ghana	CS	16	MTN	2	10	3.5	8	Yes	20	10	No	FAB Lab	6	Yes	Yes
8/26/2019 23:27:04	20	Female	Ghana	BA	11	MTN	2	0	3.5	5.5	Yes	0	3	No	Any of the classrooms	2	Yes	Yes
8/26/2019 23:41:39	19	Male	Ghana	CS	11	MTN	2	20	4	3	Yes	13	2	Yes	Library Seminar Room	1	No	No
8/26/2019 23:48:10	17	Female	Ghana	BA	11	MTN	3	50	17	5	Yes	0	6	Yes	Any of the classrooms	4	Yes	Yes
8/27/2019 0:06:57	19	Female	Ghana	BA	10	MTN	2	6	8.5	7	Yes	11	12	No	Green Lounge	3	Yes	Yes
8/27/2019 0:35:10	18	Male	Ghana	MIS	7	AirtelTigo	3	2	1	7.55	No	2	21	No	Any of the classrooms	2	Yes	Yes
8/27/2019 0:36:16	19	Female	Ghana	MIS	8	AirtelTigo	2	20	2.5	3.5	Yes	5	14	Yes	Any of the classrooms	2	Yes	Yes
8/27/2019 0:38:26	17	Female	Ghana	BA	10	Vodafone	2	15	2.5	6.5	No	0	3	No	Library Seminar Room	2	Yes	No
8/27/2019 0:38:55	19	Female	Ghana	Engineering	13	Vodafone	2	20	2	7	No	20	6	No	Any of the classrooms	6	Yes	Yes
8/27/2019 0:41:35	18	Female	Ghana	BA	12	AirtelTigo	2	20	3.5	4.5	Yes	12	8	No	Any of the classrooms	3	Yes	Yes
